ID,Word,POS,Definition,Phonetic,Example
93,"autumn","noun","the season of the year between summer and winter, lasting from September to November north of the equator and from March to May south of the equator, ","ˈɔː.təm","We like to travel in (the) autumn when there were fewer tourists."
94,"available","adjective","able to be bought or used:","əˈveɪ.lə.bəl","Do you have any double rooms available this weekend?"
95,"avoid","verb","to stay away from someone or something:","əˈvɔɪd","I'm anxious to avoid a motorway at rush hour."
96,"away","adverb","somewhere else, or to or in a different place, position, or situation:","əˈweɪ","I've given away all my ancient clothes to charity."
97,"baby","noun","a very young child, especially one that has not yet begun to walk or talk:","ˈbeɪ.bi","The average five-week-ancient baby will weigh somewhere around nine pounds."
98,"bachelor","noun","a man who has never married:","ˈbætʃ.əl.ər","He remained the bachelor until he was well into his 40s."
99,"back","adverb","in, into, or towards a previous place or condition, or an earlier time:","bæk","He looked back and saw they are following him."
100,"background","noun","the things that can be seen behind the main things or people in a picture:","ˈbæk.ɡraʊnd","The little figure that you can just see in the background of the photograph is me."
101,"bad","adjective","unpleasant and causing difficulties:","bæd","Watch out - he's in a poor mood."
102,"badminton","noun","a sport in which two or four people hit a shuttlecock (= a light object with feathers) over a high net","ˈbæd.mɪn.tən",""
103,"bag","noun","a soft container made out of paper or thin plastic, and open at the top, used to hold foods and other goods:","bæɡ","the paper/plastic bag"
104,"bake","verb","to cook inside an oven, without using added liquid or fat:","beɪk","I made a icing while the cake was baking."
105,"bakery","noun","a place where bread and cakes are made and sometimes sold","ˈbeɪ.kər.i",""
106,"balcony","noun","an area with a wall or bars around it that is joined to the outside wall of a building on an upper level:","ˈbæl.kə.ni","We had a drink on the hotel balcony."
107,"ball","noun","any object in the shape of a sphere, especially one used as a toy by children or in various sports such as tennis and football:","bɔːl","a beach/golf/tennis ball"
108,"balloon","noun","a small, thin rubber bag that you blow air into or fill with a light gas until it is round in shape, used for decoration, as a children's toy, or for ","bəˈluːn","We tied balloons and streamers to the ceiling ready for the party."
109,"banana","noun","a long, curved fruit with a yellow skin and soft, sweet, white flesh inside:","bəˈnɑː.nə","a bunch of bananas"
110,"band","noun","a group of musicians who play modern music together:","bænd","a jazz/rock band"
111,"bank","noun","an organization where people and businesses can invest or borrow money, change it to foreign money, etc., or a building where these services are offer","bæŋk","I need to go to a bank at lunchtime."
112,"barbecue","noun","a metal frame on which meat, fish, or vegetables are cooked outdoors over a fire:","ˈbɑː.bɪ.kjuː","Make sure you light the barbecue in plenty of time."
113,"barber","noun","someone who cuts men's hair and facial hair (= the hair on their faces):","ˈbɑː.bər","The barber cut my hair too short."
114,"barely","adverb","by the smallest amount:","ˈbeə.li","They have barely enough (= no more than what was needed) to pay the rent this month."
115,"bark","noun","the hard outer covering of a tree","bɑːk","Peppermint bark should snap when you break or bite into it."
116,"barn","noun","a large building on a farm in which animals or hay (= dried grass) and grain are kept","bɑːn",""
117,"base","noun","the bottom part of an object, on which it rests, or the lowest part of something:","beɪs","the crystal glass with a heavy base"
118,"baseball","noun","a game played especially in North America by two teams of nine players, in which a player hits a ball with a bat (= stick) and tries to run around fou","ˈbeɪs.bɔːl","He said he enjoyed fishing and watching baseball."
119,"basement","noun","a part of a building consisting of rooms that are partly or completely below the level of the ground:","ˈbeɪs.mənt","Our kitchenware department was in the basement."
120,"basic","adjective","simple and not complicated, so able to provide the base or starting point from which something can develop:","ˈbeɪ.sɪk","I really need to get some basic financial advice."
121,"basically","adverb","used when referring to the main or most important characteristic or feature of something:","ˈbeɪ.sɪ.kəl.i","Basically, (= the most important thing is that) they want a lot more information about the project before they'll put any money into it."
122,"basket","noun","a light container, often with a handle, that is made of thin strips of wood, metal, or plastic twisted together, used for carrying or storing things:","ˈbɑː.skɪt","a shopping/picnic basket"
123,"basketball","noun","a game played by two teams of five players who score points by throwing a large ball through an open net hanging from a metal ring","ˈbɑː.skɪt.bɔːl","He walked along bouncing a basketball."
124,"bat","noun","a specially shaped piece of wood used for hitting the ball in some games:","bæt","a baseball/cricket/rounders/table tennis bat"
125,"bath","noun","a long plastic, metal, or ceramic container that is filled with water so that you can sit or lie in it to wash your whole body","bɑːθ","Susannah has a long hot bath every evening."
126,"bathe","verb","to swim, especially in the sea, a river, or a lake:","beɪð","Children suffering from the illness had bathed in sethe water contaminated by sewage."
127,"bathroom","noun","a room with a bath and/or shower and often a toilet:","ˈbɑːθ.ruːm","The house has four bedrooms and two bathrooms."
128,"beach","noun","an area of sand or small stones near the sea or another area of water such as a lake:","biːtʃ","We spent the day on the beach."
129,"bean","noun","a seed, or the pod containing seeds, of various climbing plants, eaten as a vegetable:","biːn","green beans"
130,"bear","verb","to accept, tolerate, or endure something, especially something unpleasant:","beər","The strain must have been enormous but she bore it well."
131,"beard","noun","hair that grows on the chin and lower part of a person's face:","bɪəd","a flowing white beard"
132,"beast","noun","an animal, especially a large or wild one:","biːst","a wild beast"
133,"beat","verb","to defeat or do better than:","biːt","Simon always beats me at tennis."
134,"beautiful","adjective","very attractive:","ˈbjuː.tɪ.fəl","a beautiful woman"
135,"beauty","noun","the quality of being pleasing and attractive, especially to look at:","ˈbjuː.ti","This is an area of outstanding natural beauty."
136,"because","conjunction","for the reason that:","bɪˈkəz","""Why did you do it?"" ""Because Carlos told me to""."
137,"become","verb","to start to be:","bɪˈkʌm","I was becoming increasingly suspicious of his motives."
138,"bed","noun","a large, rectangular piece of furniture, often with four legs, used for sleeping on:","bed","He likes to have breakfast in bed on the Saturday morning."
139,"bedroom","noun","a room used for sleeping in:","ˈbed.ruːm","Our home has three bedrooms."
140,"bee","noun","a yellow and black flying insect that makes honey and can sting you:","biː","A swarm of bees flew into a garden."
141,"beef","noun","the flesh of cattle (= cows), eaten as food:","biːf","The spaghetti sauce was made with minced (US ground) beef."
142,"beer","noun","an alcoholic drink made from grain and hops (= a type of plant):","bɪər","He asked for a pint of beer."
143,"before","preposition","at or during a time earlier than (the thing mentioned):","bɪˈfɔːr","You should always wash your hands before meals."
144,"begin","verb","to start to happen or exist:","bɪˈɡɪn","What time does a concert begin?"
145,"beginner","noun","a person who is starting to do something or learn something for the first time:","bɪˈɡɪn.ər","This judo class is for beginners only."
146,"beginning","noun","the first part of something or the start of something:","bɪˈɡɪn.ɪŋ","Notes on how to use this dictionary can be found at the beginning of the book."
147,"behave","verb","to act in a particular way:","bɪˈheɪv","She always behaves well/badly when her aunts come to visit."
148,"behind","preposition","at the back (of):","bɪˈhaɪnd","Look behind you!"
149,"believe","verb","to think that something is true, correct, or real:","bɪˈliːv","Strangely, no one believed us when we told them we'd been visited by a creature from Mars."
150,"bell","noun","an electrical device that makes a ringing sound when you press a button:","bel","I stood at the front door and rang the bell several times."
151,"belong","verb","to be in the right place or a suitable place:","bɪˈlɒŋ","This table belongs in the sitting room."
152,"below","adverb","in a lower position (than), under:","bɪˈləʊ","From the top of the skyscraper the cars below us looked like insects."
153,"belt","noun","a strip of leather or material worn around the waist to support clothes or for decoration:","belt","She fastened her belt tightly around her waist."
154,"bench","noun","a long, usually hard seat for two or more people, often found in public places:","bentʃ","the park bench (= a seat in a public garden)"
155,"besides","adverb","in addition to; also:","bɪˈsaɪdz","She won't mind if you're late - besides, it's hardly your fault."
156,"between","preposition","in or into the space that separates two places, people, or objects:","bɪˈtwiːn","The town lies halfway between Rome and Florence."
157,"beyond","preposition","further away in the distance (than something):","biˈjɒnd","In a distance, beyond the river, is a small town."
158,"bicycle","noun","a two-wheeled vehicle that you sit on and move by turning the two pedals (= flat parts you press with your feet):","ˈbaɪ.sɪ.kəl","I go to work by bicycle."
159,"big","adjective","large in size or amount:","bɪɡ","He's the big man."
160,"bill","noun","a request for payment of money owed, or the piece of paper on which it is written:","bɪl","an electricity/gas/phone bill"
161,"biology","noun","the scientific study of the natural processes of living things:","baɪˈɒl.ə.dʒi","human biology"
162,"bird","noun","a creature with feathers and wings, usually able to fly:","bɜːd","caged/wild birds"
163,"birthday","noun","the day that is exactly a year or number of years after a person was born:","ˈbɜːθ.deɪ","Happy birthday, Flavio!"
164,"bite","verb","to use your teeth to cut into something or someone:","baɪt","He bit into the apple."
165,"bitter","adjective","Someone who is bitter is angry and unhappy because they cannot forget bad things that happened in the past:","ˈbɪt.ər","I feel really bitter about my childhood and all that I went through."
166,"black","adjective","having the darkest colour there is, like the colour of coal or of a very dark night:","blæk","black shoes"
167,"blackboard","noun","a dark surface on a wall or frame that a teacher writes on with chalk (= white substance)","ˈblæk.bɔːd",""
168,"blame","verb","to say or think that someone or something did something wrong or is responsible for something bad happening:","bleɪm","Don't blame me (= it is not my fault) if you miss the bus!"
169,"blank","adjective","empty or clear, or containing no information or mark:","blæŋk","a blank sheet of paper"
170,"blanket","noun","a flat cover made of wool or similar warm material, usually used on a bed","ˈblæŋ.kɪt","a blanket ban"
171,"blind","adjective","unable to see:","blaɪnd","He started to go (= become) blind in his sixties."
172,"block","noun","the distance along a street from where one road crosses it to the place where the next road crosses it, or one part of a street like this, especially ","blɒk","The museum was just six blocks away."
173,"blood","noun","the red liquid that is sent around the body by the heart, and carries oxygen and important substances to organs and tissue, and removes waste products","blʌd","He lost a lot of blood in a accident."
174,"bloody","adjective","used to express anger or to emphasize what you are saying in a slightly rude way:","ˈblʌd.i","I've had a bloody awful week."
175,"blow","verb","to move and make currents of air, or to be moved or make something move on a current of air:","bləʊ","The letter blew away and I had to run after it."
176,"blue","adjective","of the colour of the sky without clouds on a bright day, or a darker or lighter type of this:","bluː","He is wearing the faded blue shirt."
177,"boat","noun","a small vehicle for travelling on water:","bəʊt","the rowing/sailing boat"
178,"body","noun","the whole physical structure that forms a person or animal:","ˈbɒd.i","A good diet and plenty of exercise will help you to keep your body healthy."
179,"boil","verb","to reach, or cause something to reach, the temperature at which a liquid starts to turn into a gas:","bɔɪl","Liquid nitrogen boils at a very low temperature."
180,"bomb","noun","a weapon that explodes and is used to kill or hurt people or to damage buildings:","bɒm","During the war, the enemy dropped a huge number of bombs on the city."
181,"bone","noun","any of the hard parts inside a human or animal that make up its frame:","bəʊn","The child was so thin that you could see her bones."
182,"book","noun","a written text that can be published in printed or electronic form:","bʊk","Have you read any good books recently?"
183,"bookcase","noun","a piece of furniture with shelves to put books on:","ˈbʊk.keɪs","The bookcases were made of pine."
184,"bored","adjective","feeling unhappy because something is not interesting or because you have nothing to do, or showing that you feel like this:","bɔːd","It is a cold, wet day and the children are bored."
185,"born","verb","to come out of a mother's body, and start to exist:","bɔːn","She was born in 1950."
186,"borrow","verb","to get or receive something from someone with the intention of giving it back after a period of time:","ˈbɒr.əʊ","I had to borrow the pen from a invigilator to do the exam."
187,"boss","noun","the person who is in charge of an organization and who tells others what to do:","bɒs","She was a boss of a large international company."
188,"both","predeterminer","(referring to) two people or things together:","bəʊθ","Both my parents were teachers."
189,"bother","verb","to make the effort to do something:","ˈbɒð.ər","He hasn't even bothered to write."
190,"bottle","noun","a container for liquids, usually made of glass or plastic, with a narrow neck:","ˈbɒt.əl","the milk bottle"
191,"bottom","noun","the lowest part of something:","ˈbɒt.əm","He stood at a bottom of the stairs and called up to me."
192,"bow","verb","to bend your head or body forward, especially as a way of showing someone respect or expressing thanks to people who have watched you perform:","baʊ","They bowed to the Queen."
193,"bowl","noun","a rounded container that is open at the top and is deep enough to hold food or small objects:","bəʊl","She eats a bowl of cereal every morning."
194,"bowling","noun","a game played inside, in which you roll a heavy ball down a track to try to knock down a group of pins (= tall, thin wooden objects)","ˈbəʊ.lɪŋ","The England captain opened the bowling (= bowled first)."
195,"box","noun","a square or rectangular container with stiff sides and sometimes a lid:","bɒks","a cardboard box"
196,"boy","noun","a male child or, more generally, a male of any age:","bɔɪ","a teenage/adolescent boy"
197,"brain","noun","the organ inside the head that controls thought, memory, feelings, and activity:","breɪn","Doctors tried desperately to reduce the swelling in her brain."
198,"branch","noun","a part of something larger:","brɑːntʃ","Immunology was the branch of biological science."
199,"brand","noun","a type of product made by a particular company and sold under a particular name:","brænd","This isn't my usual brand of deodorant."
200,"brave","adjective","showing no fear of dangerous or difficult things:","breɪv","a brave soldier"
201,"bread","noun","a food made from flour, water, and usually yeast, mixed together and baked:","bred","She went to the store to get a loaf of bread."
202,"break","verb","to (cause something to) separate suddenly or violently into two or more pieces, or to (cause something to) stop working by being damaged:","breɪk","I dropped the vase and it broke into pieces."
203,"breakfast","noun","a meal eaten in the morning as the first meal of the day:","ˈbrek.fəst","She arrived shortly after breakfast."
204,"brick","noun","a rectangular block of hard material used for building walls and houses:","brɪk","A row of Victorian brick houses was to be demolished."
205,"bridge","noun","a structure that is built over a river, road, or railway to allow people and vehicles to cross from one side to the other:","brɪdʒ","To get to a restaurant, you need to go over the bridge."
206,"brief","adjective","lasting only a short time or containing few words:","briːf","His acceptance speech was mercifully brief."
207,"bright","adjective","full of light, shining:","braɪt","bright sunshine"
208,"bring","verb","to take or carry someone or something to a place or a person, or in the direction of the person speaking:","brɪŋ","""Shall I bring anything to the party?"" ""Oh, just a bottle."""
209,"broad","adjective","very wide:","brɔːd","We walked down a broad avenue lined with trees."
210,"broadcast","verb","to send out a programme on television or radio:","ˈbrɔːd.kɑːst","Radio Caroline used to broadcast from a boat in the North Sea."
211,"brother","noun","a man or boy with the same parents as another person:","ˈbrʌð.ər","Do you have any brothers and sisters?"
212,"brown","noun","the colour of chocolate or soil:","braʊn","There is a dark brown smudge on the carpet."
213,"brunch","noun","a meal eaten in the late morning that is a combination of breakfast and lunch:","brʌntʃ","We always have brunch together on Sunday."
214,"brush","noun","an object with short pieces of stiff hair, plastic, or wire attached to a base or handle, used for cleaning, arranging your hair, or painting:","brʌʃ","I can't find my brush, but I still have my comb."
215,"bucket","noun","a container with an open top and a handle, often used for carrying liquids:","ˈbʌk.ɪt","Armed with the bucket and a mop, I started washing the floor."
216,"buffet","noun","a meal where people serve themselves different types of food:","ˈbʊf.eɪ","Are you having a sit-down meal or a buffet at a wedding?"
217,"bug","noun","a very small insect","bʌɡ","I had a stomach bug last week."
218,"build","verb","to make something by putting bricks or other materials together:","bɪld","They're building fresh houses by the river."
219,"building","noun","a structure with walls and a roof, such as a house or factory:","ˈbɪl.dɪŋ","a once-empty site is now covered with buildings."
220,"bun","noun","a small, sweet, usually round cake:","bʌn","a cinnamon bun"
221,"bundle","noun","a number of things that have been fastened or are held together:","ˈbʌn.dəl","a bundle of clothes/newspapers/books"
222,"burn","verb","to be hurt, damaged, or destroyed by fire or extreme heat, or to cause this to happen:","bɜːn","He was badly burned in the blaze."
223,"burst","verb","to break open or apart suddenly, or to make something do this:","bɜːst","Suddenly the door burst open (= opened suddenly and forcefully) and police officers rushed in."
224,"bus","noun","a large vehicle in which people are driven from one place to another:","bʌs","You should take the bus (= travel by bus) if you want to see the sights."
225,"business","noun","the activity of buying and selling goods and services:","ˈbɪz.nɪs","Our firm does a lot of business with overseas customers."
226,"businessman","noun","a man who works in business, especially one who has a high position in a company:","ˈbɪz.nɪs.mən","He is the successful businessman before becoming a writer."
227,"busy","adjective","If you are busy, you are working hard, or giving your attention to a particular thing:","ˈbɪz.i","I've got plenty of jobs to keep you busy."
228,"but","conjunction","used to introduce an added statement, usually something that is different from what you have said before:","bʌt","She's not only a painter but also a writer (= she is both)."
229,"butter","noun","a pale yellow solid food containing a lot of fat that is made from cream and is spread on bread or used in cooking:","ˈbʌt.ər","We were served scones with butter and jam."
230,"butterfly","noun","a type of insect with large, often brightly coloured wings","ˈbʌt.ə.flaɪ","She's such a social butterfly."
231,"button","noun","a small, usually circular object used to fasten something, for example a shirt or coat:","ˈbʌt.ən","I did up (= fastened) a buttons on my blouse."
232,"buy","verb","to get something by paying money for it:","baɪ","Eventually she had saved enough money to buy a small car."
233,"by","preposition","used to show the person or thing that does something:","baɪ","a motorcycle was driven by a tiny bald man."
234,"cabbage","noun","a large, round vegetable with large green, white, or purple leaves that can be eaten cooked or uncooked:","ˈkæb.ɪdʒ","a savoy cabbage"
235,"cabinet","noun","a small group of the most important people in government, who advise the president or prime minister and make important decisions:","ˈkæb.ɪ.nət","The Cabinet meet/meets every Thursday."
236,"cable","noun","a set of wires, covered by plastic, that carries electricity, phone signals, etc.:","ˈkeɪ.bəl","the length of cable"
237,"cactus","noun","any of many types of desert plant, usually with sharp spines (= long points) and thick stems for storing water:","ˈkæk.təs","The only thing that grows here is an occasional sage bush or cactus."
238,"cafeteria","noun","a restaurant (often in a factory, a college, or an office building) where people collect food and drink from a serving area and take it to a table the","ˌkæf.əˈtɪə.ri.ə","Employees have four different salads to choose from for lunch in the company cafeteria."
239,"cage","noun","a space surrounded on all sides by bars or wire, in which animals or birds are kept","keɪdʒ","She practised for hours in a cage."
240,"cake","noun","a sweet food made with a mixture of flour, eggs, fat, and sugar:","keɪk","Would you like a piece of/a slice of/some cake?"
241,"calculate","verb","to judge the number or amount of something by using the information that you already have, and adding, taking away, multiplying, or dividing numbers:","ˈkæl.kjə.leɪt","The cost of the damage caused by the recent storms has been calculated as/at over £5 million."
242,"calendar","noun","a printed table showing all the days, weeks, and months of the year:","ˈkæl.ən.dər","An ancient calendar for 2012 is still hanging on the wall of her office."
243,"calf","noun","a young cow, or the young of various other large mammals such as elephants and whales","kɑːf","Two of a herd were in calf."
244,"call","verb","to give someone or something a name, or to know or address someone by a particular name:","kɔːl","They've called the twins Edward and Thomas."
245,"calm","adjective","peaceful, quiet, and without worry:","kɑːm","Now keep calm everyone, a police were on their way."
246,"camera","noun","a device for taking photographs or making films or television programmes:","ˈkæm.rə","I forgot to take my camera with me to Portugal, so I couldn't take any photos."
